long_name,age,height_cm,weight_kg,nationality,league_rank,overall,potential,value_eur,wage_eur,preferred_foot,international_reputation,weak_foot,skill_moves,body_type,real_face,release_clause_eur,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,num_traits,Atk_effort,Def_effort,player_versatility
Emiliano Viviano,34,195,90,8,1.0,74,74,2500000,10000,0,2,2,1,2,No,2500000,73.0,74.0,70.0,73.0,32.0,77.0,12,17,13,36,13,18,14,16,37,22,30,33,35,68,32,53,66,29,58,18,18,10,10,60,21,64,10,12,73,74,70,77,73,30,30,30,27,30,30,30,27,34,34,34,31,35,35,35,31,26,31,31,31,26,25,27,27,27,25,2,1,1,1
Daniel Vuković,35,187,95,28,1.0,74,74,1500000,7000,1,1,2,1,2,No,1500000,73.0,70.0,63.0,76.0,50.0,78.0,11,11,16,25,11,11,15,13,12,18,53,47,41,70,58,47,69,34,74,13,41,17,6,36,37,33,15,11,73,70,63,78,76,29,29,29,25,26,26,26,25,27,27,27,27,26,26,26,27,28,29,29,29,28,28,31,31,31,28,1,1,1,1
Aleš Hruška,34,192,88,41,1.0,74,74,2500000,500,1,1,2,1,1,No,2500000,72.0,72.0,70.0,72.0,32.0,75.0,13,12,12,19,11,13,12,13,15,19,28,35,22,75,44,53,52,21,66,13,16,12,12,19,18,26,23,22,72,72,70,75,72,29,29,29,22,24,24,24,22,23,23,23,24,24,24,24,24,26,26,26,26,26,26,29,29,29,26,0,1,1,1
Mamadou Samassa,30,198,85,999,1.0,74,74,3800000,12000,1,1,1,1,0,No,3800000,75.0,68.0,69.0,78.0,52.0,71.0,10,11,13,27,13,12,10,10,22,19,43,59,45,72,39,52,47,35,81,10,43,19,11,26,18,61,11,12,75,68,69,71,78,31,31,31,25,27,27,27,25,27,27,27,28,27,27,27,28,28,29,29,29,28,28,30,30,30,28,1,1,1,1
Giedrius Arlauskis,32,192,85,999,1.0,74,74,3400000,21000,1,1,3,1,1,No,3400000,77.0,68.0,68.0,79.0,34.0,72.0,19,14,15,15,14,13,16,17,13,19,33,34,38,70,56,51,57,38,40,12,33,16,13,19,11,31,14,14,77,68,68,72,79,28,28,28,22,24,24,24,22,23,23,23,25,23,23,23,25,27,25,25,25,27,27,26,26,26,27,1,1,1,1
Rafael Cabral Barbosa,30,186,83,5,2.0,74,74,3800000,11000,1,2,2,1,1,No,3800000,74.0,73.0,64.0,75.0,54.0,72.0,18,10,13,33,18,17,12,11,31,24,52,56,52,71,42,48,62,32,68,18,29,29,10,43,23,62,11,17,74,73,64,72,75,31,31,31,29,30,30,30,29,33,33,33,33,33,33,33,33,32,32,32,32,32,31,30,30,30,31,1,1,1,1
Andreas Luthe,33,195,85,1,1.0,74,74,3000000,19000,1,1,3,1,1,No,3000000,74.0,69.0,61.0,77.0,39.0,75.0,14,12,15,24,12,12,15,12,19,14,35,43,39,70,34,46,61,36,74,16,22,21,12,49,21,23,14,12,74,69,61,75,77,29,29,29,24,26,26,26,24,29,29,29,27,29,29,29,27,27,28,28,28,27,27,29,29,29,27,0,1,1,1
Harun Tekin,31,187,78,17,1.0,74,74,3600000,36000,1,1,1,1,1,No,3600000,73.0,70.0,72.0,79.0,38.0,73.0,14,10,11,23,11,14,12,11,17,23,40,37,39,70,38,54,65,22,51,12,26,16,11,42,18,60,14,12,73,70,72,73,79,28,28,28,25,27,27,27,25,29,29,29,27,28,28,28,27,25,26,26,26,25,25,26,26,26,25,0,1,1,1
Michael Esser,32,198,97,1,2.0,74,74,3400000,17000,1,1,3,1,1,Yes,3400000,73.0,72.0,64.0,78.0,41.0,71.0,10,8,25,39,9,15,14,17,35,17,32,48,30,72,28,48,67,37,82,19,40,30,6,48,23,53,15,16,73,72,64,71,78,31,31,31,25,28,28,28,25,32,32,32,30,34,34,34,30,31,36,36,36,31,31,36,36,36,31,2,1,1,1
Victorino M. Magela Sá,20,188,85,5,1.0,74,74,4400000,6000,1,1,2,1,1,No,4400000,71.0,72.0,73.0,76.0,42.0,75.0,9,9,9,16,9,8,8,19,15,21,41,42,32,68,45,55,61,31,81,8,41,25,21,72,16,62,8,9,71,72,73,75,76,30,30,30,25,29,29,29,25,31,31,31,28,30,30,30,28,25,29,29,29,25,25,29,29,29,25,1,1,1,1
Aleksandr Maksimenko,22,187,82,999,1.0,73,83,5000000,500,0,1,3,1,1,No,5000000,74.0,70.0,67.0,77.0,48.0,71.0,12,6,11,17,6,14,13,13,27,16,45,51,24,68,38,50,60,23,58,6,28,6,8,35,13,22,12,12,74,70,67,71,77,27,27,27,22,24,24,24,22,25,25,25,26,25,25,25,26,24,25,25,25,24,24,25,25,25,24,1,1,1,1
Bingourou Kamara,23,193,84,3,1.0,73,82,4800000,14000,1,1,3,1,1,No,4800000,77.0,71.0,67.0,76.0,39.0,71.0,12,12,20,15,15,19,13,16,15,21,37,41,28,65,42,50,79,32,77,19,17,20,11,26,22,58,15,14,77,71,67,71,76,30,30,30,23,25,25,25,23,25,25,25,26,25,25,25,26,25,25,25,25,25,26,29,29,29,26,0,1,1,1
Carlos Acevedo López,24,184,74,13,1.0,73,81,4500000,13000,1,1,3,1,0,No,4500000,73.0,72.0,69.0,74.0,23.0,72.0,10,9,11,23,6,9,14,13,16,15,21,24,37,64,43,52,56,40,38,9,16,14,6,32,17,51,11,12,73,72,69,72,74,23,23,23,19,21,21,21,19,23,23,23,22,25,25,25,22,24,25,25,25,24,23,23,23,23,23,1,1,1,1
Iván Mauricio Arboleda,24,182,80,20,1.0,73,80,4300000,8000,1,1,2,1,1,No,4300000,75.0,69.0,66.0,75.0,59.0,71.0,20,16,21,27,20,21,22,17,23,21,61,58,57,71,57,50,68,43,52,14,23,24,13,22,23,50,13,15,75,69,66,71,75,33,33,33,30,30,30,30,30,30,30,30,32,29,29,29,32,33,30,30,30,33,33,30,30,30,33,3,1,1,1
Isak Pettersson,23,181,80,10,1.0,73,80,4300000,4000,0,1,3,1,1,No,4300000,77.0,64.0,79.0,79.0,38.0,68.0,13,7,11,58,9,10,14,14,61,17,35,41,37,72,52,59,69,34,54,10,22,11,9,60,15,48,13,12,77,64,79,68,79,29,29,29,27,30,30,30,27,37,37,37,33,41,41,41,33,30,37,37,37,30,28,28,28,28,28,3,1,1,1
Lucas Abraham Chávez,24,178,75,4,1.0,73,79,4100000,7000,1,1,2,1,1,No,4100000,76.0,69.0,66.0,74.0,48.0,74.0,12,13,17,26,14,17,12,21,31,18,52,44,38,69,68,50,73,43,53,15,26,25,15,27,21,40,21,15,76,69,66,74,74,30,30,30,26,27,27,27,26,28,28,28,30,30,30,30,30,30,31,31,31,30,30,30,30,30,30,0,1,1,1
Paul Nardi,26,188,82,3,1.0,73,78,3900000,18000,1,1,3,1,0,No,3900000,78.0,67.0,68.0,78.0,48.0,69.0,10,10,17,35,10,10,12,10,25,25,54,43,35,69,52,51,61,20,54,10,24,21,10,55,16,35,14,10,78,67,68,69,78,30,30,30,27,29,29,29,27,33,33,33,30,32,32,32,30,27,30,30,30,27,27,28,28,28,27,1,1,1,1
Thomas Didillon,24,189,88,3,1.0,73,77,3900000,7000,0,1,2,1,1,No,3900000,74.0,71.0,66.0,74.0,55.0,74.0,21,13,15,25,14,13,19,15,28,22,57,54,55,66,33,50,57,25,67,16,27,14,9,40,22,37,18,20,74,71,66,74,74,31,31,31,28,28,28,28,28,30,30,30,30,29,29,29,30,29,29,29,29,29,29,29,29,29,29,3,1,1,1
Edgar Badía Guardiola,28,180,79,2,1.0,73,76,3600000,13000,1,1,3,1,1,No,3600000,76.0,69.0,67.0,75.0,33.0,73.0,14,12,20,30,16,14,19,13,32,18,34,32,40,65,38,50,52,27,53,12,42,22,9,30,30,53,12,15,76,69,67,73,75,28,28,28,23,25,25,25,23,27,27,27,26,28,28,28,26,27,30,30,30,27,27,30,30,30,27,1,1,1,1
Richard Strebinger,27,194,90,22,1.0,73,76,3500000,18000,1,1,2,1,1,No,3500000,74.0,64.0,63.0,79.0,38.0,74.0,15,14,16,26,12,12,17,13,21,20,37,38,39,74,33,47,66,30,78,14,20,15,13,12,23,28,13,12,74,64,63,74,79,31,31,31,23,25,25,25,23,25,25,25,26,25,25,25,26,26,27,27,27,26,26,29,29,29,26,1,1,1,1
Alberto Brignoli,28,187,74,8,2.0,73,76,3600000,500,0,1,3,1,0,No,3600000,72.0,72.0,75.0,73.0,32.0,73.0,17,20,30,36,19,12,17,19,42,23,31,33,22,66,32,56,58,34,42,11,12,11,11,38,22,53,21,20,72,72,75,73,73,32,32,32,25,28,28,28,25,30,30,30,30,33,33,33,30,28,31,31,31,28,29,28,28,28,29,2,1,1,1
Jacob Rinne,27,188,86,10,1.0,73,76,3500000,10000,0,1,3,1,1,No,3500000,73.0,72.0,70.0,75.0,47.0,71.0,15,15,16,24,14,16,17,15,25,20,46,47,47,69,33,53,57,28,63,15,27,15,14,67,26,66,14,16,73,72,70,71,75,31,31,31,29,31,31,31,29,34,34,34,31,32,32,32,31,28,30,30,30,28,28,29,29,29,28,1,1,1,1
Janis Blaswich,29,193,88,1,1.0,73,75,3400000,6000,1,1,3,1,1,No,3400000,71.0,71.0,68.0,78.0,41.0,71.0,20,18,15,38,13,19,29,8,34,31,45,38,31,67,33,51,73,31,74,16,39,19,11,41,30,54,15,13,71,71,68,71,78,33,33,33,30,31,31,31,30,34,34,34,33,34,34,34,33,30,33,33,33,30,29,31,31,31,29,1,1,1,1
Bruno Miguel Semedo Varela,25,191,87,15,1.0,73,75,3500000,6000,1,1,3,1,1,Yes,3500000,77.0,70.0,63.0,76.0,40.0,72.0,20,16,16,31,12,19,20,13,25,25,37,43,59,67,43,47,51,44,73,18,23,17,14,52,24,33,12,20,77,70,63,72,76,32,32,32,29,30,30,30,29,34,34,34,33,33,33,33,33,30,31,31,31,30,29,29,29,29,29,0,1,1,1
颜骏凌,29,191,83,11,1.0,73,75,3400000,9000,1,1,3,1,1,No,3400000,72.0,70.0,67.0,74.0,48.0,72.0,16,14,19,30,16,17,20,14,30,24,53,43,33,70,45,50,75,43,72,13,18,25,15,70,21,63,13,13,72,70,67,72,74,33,33,33,30,32,32,32,30,36,36,36,34,36,36,36,34,31,33,33,33,31,30,30,30,30,30,2,1,1,1
Amir Abedzadeh,27,186,80,999,1.0,73,75,3400000,7000,1,1,2,1,1,No,3400000,72.0,70.0,70.0,74.0,27.0,72.0,12,10,13,24,12,10,13,14,24,15,30,25,53,70,36,53,55,21,60,11,26,14,10,47,11,34,14,14,72,70,70,72,74,27,27,27,22,24,24,24,22,28,28,28,25,28,28,28,25,23,27,27,27,23,23,26,26,26,23,0,1,1,1
Neil Leonard Dula Etheridge,30,191,85,999,2.0,73,74,3100000,12000,1,1,3,1,2,Yes,3100000,74.0,67.0,61.0,75.0,52.0,75.0,11,13,11,31,11,21,18,18,21,32,51,53,54,73,58,46,47,34,76,11,16,24,18,48,43,62,14,13,74,67,61,75,75,33,33,33,31,33,33,33,31,35,35,35,34,34,34,34,34,31,31,31,31,31,30,29,29,29,30,3,1,1,1
Jorge Bladimir Pinos Haiman,30,184,79,27,1.0,73,74,3100000,500,1,1,2,1,1,No,3100000,71.0,72.0,73.0,70.0,22.0,75.0,14,10,14,18,10,11,13,12,15,13,31,15,39,72,28,55,37,20,57,10,25,13,10,29,10,43,13,13,71,72,73,75,70,26,26,26,20,22,22,22,20,23,23,23,22,23,23,23,22,22,23,23,23,22,22,24,24,24,22,0,1,1,1
Nicolas Penneteau,39,185,78,3,1.0,73,73,400000,6000,0,2,3,1,1,No,400000,70.0,76.0,66.0,66.0,27.0,81.0,11,9,19,33,15,14,6,9,23,29,26,27,38,61,41,50,56,26,63,11,36,26,11,53,15,56,11,11,70,76,66,81,66,29,29,29,25,27,27,27,25,31,31,31,28,32,32,32,28,26,31,31,31,26,26,30,30,30,26,1,1,1,1
Artur Boruc,40,193,88,14,1.0,73,73,400000,5000,1,2,3,1,2,Yes,400000,73.0,72.0,66.0,71.0,32.0,75.0,12,11,11,25,13,14,13,19,34,18,29,34,40,67,38,50,70,26,68,15,38,25,17,40,21,63,20,20,73,72,66,75,71,29,29,29,24,26,26,26,24,29,29,29,27,30,30,30,27,27,31,31,31,27,27,31,31,31,27,1,1,1,1
Alberto Cifuentes Martínez,41,189,80,2,1.0,73,73,400000,10000,1,1,3,1,0,No,400000,67.0,74.0,65.0,71.0,46.0,82.0,11,10,22,20,20,17,21,12,32,28,47,46,31,62,42,49,57,39,68,16,28,22,14,45,27,53,13,12,67,74,65,82,71,31,31,31,26,29,29,29,26,30,30,30,30,31,31,31,30,28,30,30,30,28,28,30,30,30,28,2,1,1,1
Jean-Louis Leca,34,180,75,3,1.0,73,73,1800000,22000,1,1,3,1,2,No,1800000,72.0,69.0,69.0,75.0,45.0,74.0,12,11,13,25,11,13,13,12,29,25,50,41,44,70,45,52,65,24,69,13,45,22,11,27,14,61,14,15,72,69,69,74,75,30,30,30,25,27,27,27,25,28,28,28,28,28,28,28,28,28,30,30,30,28,28,31,31,31,28,3,1,1,1
Alfredo Talavera Díaz,37,188,82,13,1.0,73,73,400000,6000,1,2,4,1,1,No,400000,74.0,74.0,70.0,68.0,58.0,75.0,15,13,14,35,13,10,15,14,35,21,58,58,57,68,47,53,82,36,75,13,38,24,14,50,44,60,13,14,74,74,70,75,68,32,32,32,29,30,30,30,29,34,34,34,33,34,34,34,33,32,34,34,34,32,31,34,34,34,31,2,1,1,1
Mario Sebastián Viera Galain,37,184,86,16,1.0,73,73,400000,500,1,1,3,1,1,No,400000,71.0,70.0,72.0,75.0,39.0,73.0,12,8,14,15,12,7,69,74,21,24,41,37,45,69,51,54,69,28,60,9,30,22,14,52,24,58,9,9,71,70,72,73,75,28,28,28,24,26,26,26,24,28,28,28,27,28,28,28,27,25,28,28,28,25,26,28,28,28,26,3,1,1,1
Remko Pasveer,36,188,88,7,1.0,73,73,675000,7000,1,1,4,1,1,No,675000,73.0,70.0,83.0,72.0,45.0,74.0,15,12,13,40,18,11,18,14,36,30,46,44,42,68,36,62,65,30,70,16,29,13,15,59,28,57,16,18,73,70,83,74,72,33,33,33,30,32,32,32,30,36,36,36,33,37,37,37,33,29,33,33,33,29,29,30,30,30,29,4,1,1,1
Mariano Gonzalo Andújar,36,194,86,4,1.0,73,73,675000,7000,1,2,3,1,1,No,675000,72.0,71.0,62.0,75.0,45.0,75.0,14,11,10,23,11,16,13,16,23,20,45,45,40,69,40,47,70,38,70,10,39,20,13,45,23,60,18,19,72,71,62,75,75,29,29,29,26,27,27,27,26,30,30,30,30,30,30,30,30,29,31,31,31,29,29,32,32,32,29,4,1,1,1
Adrián José Gabbarini,34,184,83,4,1.0,73,73,1800000,500,1,1,2,1,1,No,1800000,71.0,72.0,65.0,77.0,46.0,71.0,16,20,18,12,17,10,19,14,24,13,44,47,52,67,54,49,67,32,57,15,13,26,12,25,14,26,15,18,71,72,65,71,77,30,30,30,23,24,24,24,23,24,24,24,25,24,24,24,25,27,25,25,25,27,28,27,27,27,28,1,1,1,1
Luis Robles,36,185,90,9,1.0,73,73,675000,4000,1,1,3,1,1,Yes,675000,74.0,71.0,70.0,76.0,41.0,71.0,14,9,17,38,9,14,12,11,38,25,41,41,46,69,47,53,60,45,66,12,37,17,16,52,19,53,15,19,74,71,70,71,76,31,31,31,28,30,30,30,28,34,34,34,33,36,36,36,33,30,34,34,34,30,30,30,30,30,30,4,1,1,1
Steve Clark,34,188,86,9,1.0,73,73,1800000,5000,1,1,4,1,1,No,1800000,72.0,69.0,65.0,73.0,48.0,75.0,13,12,11,52,12,13,12,17,62,18,49,47,42,74,43,49,64,28,55,15,35,15,11,54,25,62,15,14,72,69,65,75,73,31,31,31,29,31,31,31,29,37,37,37,35,40,40,40,35,30,36,36,36,30,29,29,29,29,29,3,1,1,1
Martín Andrés Silva Leites,37,186,80,16,1.0,73,73,400000,500,1,1,2,1,1,No,400000,75.0,70.0,72.0,77.0,31.0,72.0,9,13,9,38,13,11,13,12,33,17,30,32,34,60,38,54,46,22,43,15,33,23,13,45,25,66,18,13,75,70,72,72,77,27,27,27,23,26,26,26,23,30,30,30,27,32,32,32,27,26,31,31,31,26,26,28,28,28,26,1,1,1,1
Tim Melia,34,183,93,9,1.0,73,73,1800000,5000,1,1,2,1,1,Yes,1800000,73.0,68.0,73.0,73.0,37.0,74.0,20,20,13,45,13,17,15,19,45,29,39,36,42,67,34,55,55,42,68,18,35,21,18,48,19,53,15,14,73,68,73,74,73,34,34,34,31,33,33,33,31,37,37,37,35,39,39,39,35,31,36,36,36,31,30,30,30,30,30,1,1,1,1
José Carlos Coentrão Marafona,33,190,86,15,1.0,73,73,2200000,9000,1,1,2,1,1,No,2200000,73.0,73.0,66.0,74.0,37.0,74.0,13,18,13,32,19,22,19,17,38,13,36,37,49,66,35,50,53,29,60,16,41,21,13,56,23,41,12,13,73,73,66,74,74,30,30,30,27,29,29,29,27,33,33,33,31,33,33,33,31,26,31,31,31,26,26,28,28,28,26,2,1,1,1
김진현 金镇铉,32,192,78,18,1.0,73,73,2400000,6000,1,1,3,1,1,No,2400000,73.0,67.0,61.0,76.0,47.0,73.0,20,13,19,12,13,14,11,13,22,24,54,42,63,72,43,46,68,43,65,15,14,15,16,57,15,12,13,12,73,67,61,73,76,31,31,31,28,29,29,29,28,32,32,32,31,30,30,30,31,28,27,27,27,28,28,26,26,26,28,2,1,1,1
Kevin Müller,29,190,90,1,2.0,73,73,2800000,16000,1,1,3,1,2,No,2800000,72.0,70.0,66.0,75.0,47.0,72.0,12,13,13,21,11,17,13,16,20,18,49,46,48,69,43,50,67,31,76,15,41,20,11,10,20,52,10,10,72,70,66,72,75,30,30,30,24,25,25,25,24,25,25,25,26,24,24,24,26,26,27,27,27,26,26,29,29,29,26,0,1,1,1
Jorge Emanuel Broun,34,190,90,4,1.0,73,73,1800000,11000,1,1,3,1,2,No,1800000,71.0,68.0,69.0,77.0,43.0,75.0,14,17,16,24,17,15,14,12,22,16,41,45,30,72,44,52,68,30,79,18,18,17,18,38,23,27,14,19,71,68,69,75,77,33,33,33,26,28,28,28,26,29,29,29,29,28,28,28,29,28,29,29,29,28,29,32,32,32,29,0,1,1,1
Sebastián Alberto Torrico,40,183,84,4,1.0,73,73,400000,7000,1,1,2,1,1,No,400000,71.0,69.0,68.0,73.0,45.0,75.0,18,20,14,23,18,17,14,21,18,22,44,45,32,71,51,51,60,25,58,12,20,21,13,37,21,36,14,15,71,69,68,75,73,32,32,32,27,29,29,29,27,29,29,29,29,28,28,28,29,28,28,28,28,28,28,28,28,28,28,3,1,1,1
Pedro David Gallese Quiróz,30,189,79,33,1.0,73,73,2700000,5000,1,1,3,1,1,No,2700000,74.0,67.0,69.0,74.0,47.0,70.0,21,20,18,31,20,19,12,17,24,22,45,49,34,76,57,52,58,30,49,12,22,25,18,59,22,53,19,19,74,67,69,70,74,34,34,34,31,33,33,33,31,35,35,35,34,35,35,35,34,32,32,32,32,32,32,31,31,31,32,1,1,1,1
Jaime Tomás Abravanel Mestres,28,188,81,5,1.0,73,73,2900000,15000,1,1,3,1,1,No,2900000,77.0,71.0,68.0,74.0,54.0,73.0,22,13,14,17,12,14,17,14,15,21,58,50,43,62,49,51,41,38,61,15,27,18,10,52,16,54,20,17,77,71,68,73,74,30,30,30,27,28,28,28,27,30,30,30,30,28,28,28,30,29,28,28,28,29,30,28,28,28,30,0,1,1,1
Frederico Peter Cabral Bardini,28,188,83,5,1.0,73,73,2900000,21000,1,1,2,1,1,No,2900000,73.0,77.0,69.0,66.0,48.0,76.0,19,11,17,14,15,21,20,12,16,21,42,53,40,70,39,52,41,31,56,14,22,15,12,67,13,62,14,10,73,77,69,76,66,30,30,30,28,30,30,30,28,32,32,32,31,30,30,30,31,27,26,26,26,27,27,26,26,26,27,0,1,1,1
Daniel Akpeyi,34,189,86,38,1.0,73,73,1800000,500,1,1,2,1,1,No,1800000,74.0,72.0,68.0,75.0,24.0,75.0,13,7,11,17,6,10,13,13,19,16,26,22,41,63,33,51,58,17,37,5,26,7,8,30,12,28,14,13,74,72,68,75,75,23,23,23,19,21,21,21,19,22,22,22,21,22,22,22,21,21,23,23,23,21,21,23,23,23,21,0,1,1,1
Živko Živković,31,194,87,36,1.0,73,73,2600000,500,1,1,2,1,1,No,2600000,73.0,68.0,68.0,75.0,29.0,75.0,10,8,10,17,7,14,13,13,27,19,30,28,55,64,26,51,60,25,72,8,35,7,5,26,15,54,11,10,73,68,68,75,75,26,26,26,20,22,22,22,20,24,24,24,23,24,24,24,23,21,24,24,24,21,20,24,24,24,20,0,1,1,1
Freddie Woodman,23,190,83,0,2.0,72,82,3900000,13000,1,1,2,1,1,Yes,3900000,72.0,68.0,69.0,73.0,45.0,71.0,14,16,20,26,16,17,15,13,26,22,43,47,38,70,37,52,48,30,46,14,32,28,12,37,20,54,21,20,72,68,69,71,73,31,31,31,27,29,29,29,27,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,0,1,1,1
Lorenzo Montipò,24,191,82,8,1.0,72,79,3300000,8000,1,1,1,1,1,No,3300000,72.0,70.0,69.0,76.0,41.0,69.0,15,20,17,17,18,19,17,15,16,20,40,42,46,66,49,52,54,35,49,14,24,18,15,20,29,50,19,11,72,70,69,69,76,31,31,31,25,26,26,26,25,26,26,26,27,25,25,25,27,26,25,25,25,26,26,26,26,26,26,0,1,1,1
Raúl Manolo Gudiño Vega,24,196,92,13,1.0,72,79,3300000,19000,1,1,1,1,0,No,3300000,72.0,72.0,62.0,74.0,47.0,69.0,21,17,15,24,14,21,20,18,22,23,45,49,31,69,39,47,51,40,75,12,34,21,14,51,11,47,14,19,72,72,62,69,74,32,32,32,29,30,30,30,29,32,32,32,33,32,32,32,33,31,31,31,31,31,30,31,31,31,30,0,1,1,1
Joël Drommel,23,193,90,7,1.0,72,79,3300000,5000,1,1,3,1,1,No,3300000,73.0,69.0,70.0,73.0,51.0,70.0,12,13,21,44,12,25,21,21,39,32,50,52,62,67,49,53,75,40,70,16,22,10,10,50,32,36,20,19,73,69,70,70,73,34,34,34,33,34,34,34,33,38,38,38,36,38,38,38,36,32,34,34,34,32,31,31,31,31,31,1,1,1,1
Jérôme Prior,24,187,86,3,2.0,72,78,3200000,3000,0,1,3,1,1,No,3200000,70.0,69.0,68.0,78.0,52.0,71.0,13,16,15,38,17,18,16,16,40,22,48,55,35,64,51,51,61,30,78,17,40,25,15,48,14,59,14,13,70,69,68,71,78,33,33,33,29,31,31,31,29,34,34,34,33,35,35,35,33,29,34,34,34,29,29,31,31,31,29,0,1,1,1
Georgiy Bushchan,26,196,93,999,1.0,72,77,3000000,500,1,1,3,1,1,No,3000000,72.0,65.0,73.0,74.0,28.0,69.0,12,5,10,23,7,14,13,11,29,15,24,32,35,74,24,55,38,18,73,8,24,10,6,35,13,36,10,11,72,65,73,69,74,26,26,26,21,23,23,23,21,25,25,25,24,26,26,26,24,22,26,26,26,22,22,25,25,25,22,1,1,1,1
Davy Roef,26,189,87,25,1.0,72,75,2800000,12000,1,1,3,1,1,No,2800000,75.0,70.0,64.0,75.0,50.0,70.0,11,14,11,48,14,18,11,19,46,25,53,48,45,67,49,48,65,33,68,12,28,12,11,41,30,46,11,18,75,70,64,70,75,32,32,32,30,31,31,31,30,36,36,36,34,36,36,36,34,30,33,33,33,30,29,28,28,28,29,0,1,1,1
Alexis Martín Arias,27,185,79,4,1.0,72,75,2700000,2000,1,1,3,1,1,No,2700000,73.0,67.0,73.0,75.0,50.0,70.0,20,19,14,29,12,18,17,14,22,22,58,44,44,71,57,55,68,35,62,15,28,27,19,28,23,35,18,16,73,67,73,70,75,34,34,34,29,30,30,30,29,31,31,31,32,30,30,30,32,32,31,31,31,32,31,31,31,31,31,1,1,1,1
Gökhan Akkan,25,186,80,17,1.0,72,75,2900000,8000,1,1,2,1,1,No,2900000,69.0,68.0,68.0,80.0,48.0,70.0,15,15,13,29,12,15,12,18,26,5,48,48,49,70,59,51,58,35,69,14,20,25,13,34,21,54,15,19,69,68,68,70,80,30,30,30,25,26,26,26,25,28,28,28,28,28,28,28,28,29,29,29,29,29,29,29,29,29,29,0,1,1,1
Thomas Kaminski,27,188,70,25,2.0,72,74,2600000,22000,1,1,3,1,0,No,2600000,72.0,75.0,67.0,74.0,46.0,67.0,18,14,10,35,17,11,11,17,38,16,47,45,59,69,42,50,65,31,62,15,29,17,18,51,24,47,11,17,72,75,67,67,74,31,31,31,28,29,29,29,28,33,33,33,32,33,33,33,32,29,31,31,31,29,28,28,28,28,28,1,1,1,1
Christian Mathenia,28,189,89,1,2.0,72,74,2700000,8000,1,2,1,1,1,No,2700000,74.0,68.0,62.0,76.0,45.0,71.0,15,12,14,31,16,15,15,15,25,23,47,44,35,68,39,47,55,45,69,15,30,19,15,35,23,54,12,12,74,68,62,71,76,31,31,31,27,28,28,28,27,30,30,30,31,31,31,31,31,29,30,30,30,29,29,29,29,29,29,1,1,1,1
Leopold Zingerle,26,185,78,1,2.0,72,74,2700000,11000,1,1,3,1,1,No,2700000,70.0,69.0,67.0,75.0,43.0,72.0,11,7,10,28,8,9,11,12,13,20,38,47,38,68,51,50,64,34,54,6,21,11,8,40,15,47,9,10,70,69,67,72,75,27,27,27,23,25,25,25,23,27,27,27,27,26,26,26,27,25,25,25,25,25,25,24,24,24,25,0,1,1,1
Alex Smithies,30,189,88,0,2.0,72,73,2400000,15000,1,1,2,1,1,Yes,2400000,72.0,69.0,66.0,72.0,59.0,72.0,14,11,17,30,13,14,11,11,15,23,59,59,33,67,44,50,80,39,66,13,37,24,17,43,21,58,12,17,72,69,66,72,72,32,32,32,29,30,30,30,29,31,31,31,32,30,30,30,32,31,30,30,30,31,31,31,31,31,31,0,1,1,1
David Marshall,35,190,82,26,2.0,72,72,850000,10000,1,1,3,1,1,No,850000,71.0,69.0,66.0,73.0,49.0,72.0,11,19,14,21,15,14,19,14,29,21,48,50,33,70,41,50,63,34,63,12,41,24,13,42,11,67,14,13,71,69,66,72,73,31,31,31,26,29,29,29,26,30,30,30,30,30,30,30,30,28,30,30,30,28,28,29,29,29,28,1,1,1,1
Alex Cordaz,37,188,83,8,1.0,72,72,325000,5000,1,1,1,1,1,No,325000,68.0,71.0,62.0,74.0,26.0,72.0,12,10,16,12,10,18,10,15,17,20,25,27,28,72,29,47,32,16,54,15,22,7,8,34,16,69,10,10,68,71,62,72,74,26,26,26,21,24,24,24,21,25,25,25,24,24,24,24,24,21,22,22,22,21,20,22,22,22,20,0,1,1,1
Bartosz Białkowski,32,194,86,14,2.0,72,72,1900000,8000,1,1,3,1,1,No,1900000,66.0,71.0,67.0,73.0,41.0,75.0,11,13,12,33,12,14,11,12,32,18,42,40,48,68,49,50,66,39,69,11,27,19,10,47,17,61,15,14,66,71,67,75,73,29,29,29,26,28,28,28,26,31,31,31,30,32,32,32,30,28,31,31,31,28,27,28,28,28,27,1,1,1,1
